N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,X,Y,geographische_Genauigkeit_km,Antwortvariable,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_Jahre,ExperimentObservation,Trend,Massnahme_Schutz,Massnahme_Schutz_andere,Massnahme_Management,Massnahme_Impuls,Notizen,LiteraturRawdata,Studie_in_D,ID,StationID,Antwortvariable_ORIG
313,5DAE2IJ6,NA,"Strubelt, I. et al.",2019,Vegetation changes in the Hasbruch forest nature reserve (NW Germany) depend on management and habitat type,Forest Ecology and Management 444 (2019) 78–88,10.1016/j.foreco.2019.04.030,NA,Konrad Adler,Konrad Adler,Wald,Stellario-Carpinetum loniceretosum & stachyetosum stands in one ancient closed forest,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,central part of Hasbruch forest,8.491611111,53.06972222,NA,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1996,2016,21,2,NA,positive,Andere,"NSG ""Naturwald"" Hasbruch","unbewirtschaftete Bereiche vs. Bereiche mit ""close-to-nature forest management""",NA,NA,Literatur,D,NA,NA,NA
314,5DAE2IJ6,NA,"Strubelt, I. et al.",2019,Vegetation changes in the Hasbruch forest nature reserve (NW Germany) depend on management and habitat type,Forest Ecology and Management 444 (2019) 78–88,10.1016/j.foreco.2019.04.030,NA,Konrad Adler,Konrad Adler,Wald,Stellario-Carpinetum loniceretosum & stachyetosum stands in one ancient closed forest,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,central part of Hasbruch forest,8.491611111,53.06972222,NA,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1996,2016,21,2,NA,positive,Andere,"NSG ""Naturwald"" Hasbruch","unbewirtschaftete Bereiche vs. Bereiche mit ""close-to-nature forest management""",NA,NA,Literatur,D,NA,NA,NA
315,5DAE2IJ6,NA,"Strubelt, I. et al.",2019,Vegetation changes in the Hasbruch forest nature reserve (NW Germany) depend on management and habitat type,Forest Ecology and Management 444 (2019) 78–88,10.1016/j.foreco.2019.04.030,NA,Konrad Adler,Konrad Adler,Wald,Stellario-Carpinetum loniceretosum & stachyetosum stands in one ancient closed forest,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,central part of Hasbruch forest,8.491611111,53.06972222,NA,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1996,2016,21,2,NA,no,Andere,"NSG ""Naturwald"" Hasbruch","unbewirtschaftete Bereiche vs. Bereiche mit ""close-to-nature forest management""",NA,NA,Literatur,D,NA,NA,NA
316,5DAE2IJ6,NA,"Strubelt, I. et al.",2019,Vegetation changes in the Hasbruch forest nature reserve (NW Germany) depend on management and habitat type,Forest Ecology and Management 444 (2019) 78–88,10.1016/j.foreco.2019.04.030,NA,Konrad Adler,Konrad Adler,Wald,Stellario-Carpinetum loniceretosum & stachyetosum stands in one ancient closed forest,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,central part of Hasbruch forest,8.491611111,53.06972222,NA,Artenzahl,Zeit,Pflanzen,Moose,Moose,NA,1996,2016,21,2,NA,no,Andere,"NSG ""Naturwald"" Hasbruch","unbewirtschaftete Bereiche vs. Bereiche mit ""close-to-nature forest management""",NA,NA,Literatur,D,NA,NA,NA
489,6AKWDL8E,NA,"Heinrichs, S. et al.",2015,Dynamics of Hedera helix L. in Central European beech forests on limestone: results from long-term monitoring and experimental studies,Plant Ecol 216:1–15,10.1007/s11258-014-0412-1,NA,Konrad Adler,Konrad Adler,Wald,"Allium ursinum-reicher Hordelymo-Fagetum lathyretosum, Carici-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Göttinger Wald,9.983333333,51.55,NA,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1997,2012,16,2,"Beobachtung, Experiment",positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
490,6AKWDL8E,NA,"Heinrichs, S. et al.",2015,Dynamics of Hedera helix L. in Central European beech forests on limestone: results from long-term monitoring and experimental studies,Plant Ecol 216:1–15,10.1007/s11258-014-0412-1,NA,Konrad Adler,Konrad Adler,Wald,"Allium ursinum-reicher Hordelymo-Fagetum lathyretosum, Carici-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Göttinger Wald,9.983333333,51.55,NA,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1997,2012,16,2,"Beobachtung, Experiment",positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
491,6AKWDL8E,NA,"Heinrichs, S. et al.",2015,Dynamics of Hedera helix L. in Central European beech forests on limestone: results from long-term monitoring and experimental studies,Plant Ecol 216:1–15,10.1007/s11258-014-0412-1,NA,Konrad Adler,Konrad Adler,Wald,"Allium ursinum-reicher Hordelymo-Fagetum lathyretosum, Carici-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Göttinger Wald,9.983333333,51.55,NA,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1997,2012,16,2,"Beobachtung, Experiment",positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
541,6AKWDL8E,NA,"Heinrichs, S. et al.",2015,Dynamics of Hedera helix L. in Central European beech forests on limestone: results from long-term monitoring and experimental studies,Plant Ecol 216:1–15,10.1007/s11258-014-0412-1,NA,Konrad Adler,Konrad Adler,Wald,"Allium ursinum-reicher Hordelymo-Fagetum lathyretosum, Carici-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Göttinger Wald,9.983333333,51.55,NA,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,1,1997,2012,16,2,"Beobachtung, Experiment",positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10514,6TJDBKDX,NA,Kolbe W.,1991,Zur Abundanz und Fluktiation von Anthropoden in Forsten des Staatswaldes Burgholz in Solingen (1978 – 1990),"Jahresberichte des Naturwissenschaftlichen Vereins in Wuppertal 44. Heft, Seite 20 – 33",NA,NA,Maria Sporbert,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Nordrhein-Westfalen,Staatswald Burgholz in Solingen (Bergisches Land),7.115176,51.223182,5,Abundanz,Jahre,Wirbellose,Arthropoden,Arthropoden,NA,1978,1989,12,7,Beobachtung,positive to negative,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
368,6YJE4V25,NA,"Seibold, S. et al.",2019,Arthropod decline in grasslands and forests is associated with landscape-level drivers,"Nature volume 574, pages 671–674",10.1038/s41586-019-1684-3,NA,Konrad Adler,Konrad Adler,Wald,Gründland- und Waldstandort,NA,Deutschland,"Baden-Württemberg, Brandenburg, Thüringen","Schwäbisch Alb, Schorfheide-Chorin, Hainich-Dün (biodiversity exploratories)",9.354786854,48.29950635,10,Artenzahl,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,2008,2016,9,9,Beobachtung,negative,NA,NA,NA,NA,"enthält auch Daten zu Grasland, da in Waldtabelle: nur Wald extrahiert",Literatur,D,NA,NA,NA
369,6YJE4V25,NA,"Seibold, S. et al.",2019,Arthropod decline in grasslands and forests is associated with landscape-level drivers,"Nature volume 574, pages 671–674",10.1038/s41586-019-1684-3,NA,Konrad Adler,Konrad Adler,Wald,Gründland- und Waldstandort,NA,Deutschland,"Baden-Württemberg, Brandenburg, Thüringen","Schwäbisch Alb, Schorfheide-Chorin, Hainich-Dün (biodiversity exploratories)",9.354786854,48.29950635,10,Abundanz,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,2008,2016,9,9,Beobachtung,negative,NA,NA,NA,NA,"enthält auch Daten zu Grasland, da in Waldtabelle: nur Wald extrahiert",Literatur,D,NA,NA,NA
370,6YJE4V25,NA,"Seibold, S. et al.",2019,Arthropod decline in grasslands and forests is associated with landscape-level drivers,"Nature volume 574, pages 671–674",10.1038/s41586-019-1684-3,NA,Konrad Adler,Konrad Adler,Wald,Gründland- und Waldstandort,NA,Deutschland,"Baden-Württemberg, Brandenburg, Thüringen","Schwäbisch Alb, Schorfheide-Chorin, Hainich-Dün (biodiversity exploratories)",9.354786854,48.29950635,10,Abundanz,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,2008,2016,9,9,Beobachtung,no,NA,NA,NA,NA,"enthält auch Daten zu Grasland, da in Waldtabelle: nur Wald extrahiert",Literatur,D,NA,NA,NA
371,6YJE4V25,NA,"Seibold, S. et al.",2019,Arthropod decline in grasslands and forests is associated with landscape-level drivers,"Nature volume 574, pages 671–674",10.1038/s41586-019-1684-3,NA,Konrad Adler,Konrad Adler,Wald,Gründland- und Waldstandort,NA,Deutschland,"Baden-Württemberg, Brandenburg, Thüringen","Schwäbisch Alb, Schorfheide-Chorin, Hainich-Dün (biodiversity exploratories)",9.354786854,48.29950635,10,Artenzahl,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,2008,2016,9,9,Beobachtung,negative,NA,NA,NA,NA,"enthält auch Daten zu Grasland, da in Waldtabelle: nur Wald extrahiert",Literatur,D,NA,NA,NA
10408,7XDHMC2Q,NA,Schmidt A.,2012,Erkenntnisse aus langjährigen Bestandskontrollen von Fledermauskästen in Ost-Brandenburg,"Nyctalus (N.F.), Berlin 17 (2012), Heft 1-2, S. 68-76",NA,NA,Maria Sporbert,Anneka Bücher,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,Möllenwinkel & Holzspree,14.23508495,52.15305904,NA,Abundanz,Zeit,Wirbeltiere,Saeuger,Säuger,1,1973,2003,31,11,Beobachtung,negative to positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10409,7XDHMC2Q,NA,Schmidt A.,2012,Erkenntnisse aus langjährigen Bestandskontrollen von Fledermauskästen in Ost-Brandenburg,"Nyctalus (N.F.), Berlin 17 (2012), Heft 1-2, S. 68-76",NA,NA,Maria Sporbert,Anneka Bücher,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Rheinland-Pfalz,NA,NA,NA,NA,Abundanz,Zeit,Wirbeltiere,Saeuger,Säuger,1,1976,2006,31,30,Beobachtung,negative to positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
329,8CPPFU8C,NA,"Brabcová, V. et al.",2022,Fungal Community Development in Decomposing Fine Deadwood Is Largely Affected by Microclimate,Front. Microbiol. 13:835274,10.3389/fmicb.2022.835274,NA,Konrad Adler,Konrad Adler,Wald,"Bergmischwald, bestehend aus Rotbuche, Weißtanne und Fichte",Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,Managementzone des Nationalparks Bayerischer Wald,13.3,48.9,20,Abundanz,Zeit,Pilze_Flechten,Pilze,Pilze,1,2012,2017,6,6,Experiment,positive,Nationalpark_Bayerischer Wald,NA,NA,NA,"verfehlt möglicherweise die Ziele des Projekts, erfüllt allerdings alle Kriterien, weitere Diagramme im Paper zeigen zusätzlich Artzusammensetzungen/Diversität",Literatur,D,NA,NA,NA
395,8UC3VZW4,NA,Kamp et al.,2021,Population trends of common breeding birds in Germany 1990–2018,"Perspectives in Plant Ecology, Evolution and Systematics",10.1007/s10336-020-01830-6,NA,Maria Sporbert,Maria Sporbert,Wald,Wald,NA,Deutschland,NA,NA,10.279,51.415,700,Abundanz,Zeit,Wirbeltiere,Voegel,Vögel,34,1990,2018,29,28,Beobachtung,negative to positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10659,8WAVC6EJ,NA,"Weidner H., Geiger H.",2003,"Zur Bestandssituation der Mopsfledermaus (Barbastella barbastellus Schreber, 1774) in Thüringen","Nyctalus (N.F.), Band 8(2003), Heft 6, S. 689-696",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,Altenburger Lößgebiet (Ostthüri ngen),12.52947484,50.98647714,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1986,1995,10,13,Beobachtung,negative to positive,NA,NA,NA,NA,NA,Literatur,NA,NA,NA,NA
190,95UQZX4E,NA,Henkel,1976,Zur Dynamik der Kahlschlagvegetation auf Gr0ßschadfläschen im Gebiet Oberhof/Thüringen,Archiv Naturschutz und Landschaftsforschung,NA,NA,Charlotta Wiechmann,Charlotta Wiechmann,Wald,NA,NA,Deutschland,Thüringen,Oberhof - Zella-Mehlis - Suhl,10.69109815,50.67956112,10,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1949,1969,21,2,Beobachtung,no,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
547,9QFGZGKF,NA,"Jantsch, MC et ak.",2013,"Shift in Plant Species Composition Reveals Environmental Changes During the Last Decades: A Long-Term Study in Beech (Fagus sylvatica) Forests in Bavaria, Germany",Folia Geobot 48:467–491,10.1007/s12224-012-9148-7,NA,Konrad Adler,Konrad Adler,Wald,"Buchenwälder (Kronendeckung Fagus sylvatica >50%), Vegetationstypen: Luzulo luzuloidis-Fagetum, Galio odorati-Fagetum, Hordelymo europaei-Fagetum, Carici albae-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Bayern,"Sinngrund, Steigerwald, Fränkische Alb, Starnberger See, Inn-Gletschermoräne",10.76078698,49.01497924,100,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1965,2010,46,2,Beobachtung,negative,NA,NA,NA,NA,"Erste Aufnahmen zwischen 1949-1985, Infos in Tab. 1 in Text",Literatur,D,NA,NA,NA
285,9UA7424F,NA,"Heinrichs, S., et al.",2009,Short-term effects of selection and clear cutting on the shrub and herb layer vegetation during the conversion of even-aged Norway spruce stands into mixed stands,Forest Ecology and Management 258 (2009) 667-678,10.1016/j.foreco.2009.04.037,NA,Ludwig/Jana,Ludwig Lettenmaier,Wald,Fichtenmonokultur,Nadel(Misch)Wälder und -Forste,Deutschland,Niedersachsen,"Neuhaus, Otterbach",9.494444444,51.7625,NA,Artenzahl,"Forstwirtschaft: Control (Kontrolle), Selection cutting (Selektives Fällen), Clear Cutting (Kahlschlag)",Pflanzen,Pflanzen,Pflanzen,NA,2002,2007,6,4,Experiment,no,NA,NA,Umwandlung eines reinen Koniferenbestandes zu einem Mischwald,Selektives Fällen und Kahlschlag,"Nicht sicher, ob geeignet für Trendanalyse, da die Studie den Trend einer Maßnahme thematisiert",Literatur,D,NA,NA,NA
286,9UA7424F,NA,"Heinrichs, S., et al.",2009,Short-term effects of selection and clear cutting on the shrub and herb layer vegetation during the conversion of even-aged Norway spruce stands into mixed stands,Forest Ecology and Management 258 (2009) 667-678,10.1016/j.foreco.2009.04.037,NA,Ludwig/Jana,Ludwig Lettenmaier,Wald,Fichtenmonokultur,Nadel(Misch)Wälder und -Forste,Deutschland,Niedersachsen,"Neuhaus, Otterbach",9.494444444,51.7625,NA,Abundanz,"Forstwirtschaft: Control (Kontrolle), Selection cutting (Selektives Fällen), Clear Cutting (Kahlschlag)",Pflanzen,Pflanzen,Pflanzen,NA,2002,2007,6,4,Experiment,no,NA,NA,Umwandlung eines reinen Koniferenbestandes zu einem Mischwald,Selektives Fällen und Kahlschlag,"Nicht sicher, ob geeignet für Trendanalyse, da die Studie den Trend einer Maßnahme thematisiert",Literatur,D,NA,NA,NA
10278,A3V37ZGJ,NA,"Habel, JC et al.",2019,Succession matters: Community shifts in moths over three decades increases multifunctionality in intermediate successional stages,Scientific Reports 9:5586,10.1038/s41598-019-41571-w,NA,Amibeth Thompson,Konrad Adler,Wald,"seminatürlicher Kalkmagerrasen von natürlicher Sukzession betroffen (Trockenrasen durchsetzt mit Sträucher- und Waldflächen, sowie steinernen Hängen)",Trockenrasen sowie Grünland trockener bis frischer Standorte,Deutschland,Bayern,"NSG ""Am Keilstein"" und ""Südöstliche Juraausläufer bei Regensburg” im nordöstlichen Teil der Stadt Regensburg",12.25,49.051,NA,Artenzahl,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,1987,2017,31,17,Beobachtung,negative,Andere,"NSG ""Am Keilstein"" und NSG ""Südöstliche Juraausläufer bei Regensburg""",NA,NA,NA,Literatur,D,NA,NA,NA
345,AGGGJ8RR,NA,"Schauer, B. et al.",2018,Influence of tree hollow characteristics on saproxylic beetle diversity in a managed forest,Biodivers Conserv (2018) 27:853–869,10.1007/s10531-017-1467-9,NA,Konrad Adler,Konrad Adler,Wald,Gemäßigter europäischer Buchenwald,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Bayern,Forstrevier Ebrach im Steigerwald,10.48333333,49.83333333,NA,Artenzahl,Zeit,Wirbellose,Arthropoden,Arthropoden,NA,2014,2015,2,2,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
544,AN9CNTYR,NA,"Krug, JHA",2019,"How can forest management increase biomass accumulation and CO2 sequestration? A case study on beech forests in Hesse, Germany",Carbon Balance Manage 14:17,10.1186/s13021-019-0132-x,NA,Konrad Adler,Konrad Adler,Wald,"Buchenwälder, genauer: Hainsimsen-Buchenwald (Luzulu-Fagetum), Waldgersten-Buchenwald (Hordelymo-Fagetum) und Waldmeister Buchenwald (Galio-Fagetum)",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Hessen,"Wälder in Hessen (Schönbuche, Goldbach, Hohestein, Haasenblick)",8.62149781,51.02160452,50,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1988,2012,25,2,Beobachtung,positive,NA,NA,"""business as usual""- Bewirtschaftung in der Hälfte der Untersuchungsflächen",NA,Angabe zum Boden: Secondary podsol sites (soil texture: clay to coarse clay),Literatur,D,NA,NA,NA
354,AZDPE2RS,NA,"Strubelt, I. et al.",2019,Inter-annual variation in species composition and richness after coppicing in a restored coppice-with-standards forest,Forest Ecology and Management 432 (2019) 132–139,10.1016/j.foreco.2018.09.014,NA,Konrad Adler,Konrad Adler,Wald,"Coppice-with-standards Projekt (CWS, Niederwald), Galio-Carpinetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Salzgitter-Höhenzug zwischen Liebenburg und Goslar,10.42319444,51.97391667,5,Abundanz,"Zeit (Jahre nach ""coppicing"")",Pflanzen,Pflanzen,Pflanzen,1,1994,2013,20,10,Beobachtung,positive,NA,NA,NA,NA,Angabe zum Boden: Limestone rendzina with low water storage capacity,Literatur,D,NA,NA,NA
355,AZDPE2RS,NA,"Strubelt, I. et al.",2019,Inter-annual variation in species composition and richness after coppicing in a restored coppice-with-standards forest,Forest Ecology and Management 432 (2019) 132–139,10.1016/j.foreco.2018.09.014,NA,Konrad Adler,Konrad Adler,Wald,"Coppice-with-standards Projekt (CWS, Niederwald), Galio-Carpinetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Salzgitter-Höhenzug zwischen Liebenburg und Goslar,10.42319444,51.97391667,5,Abundanz,"Zeit (Jahre nach ""coppicing"")",Pflanzen,Pflanzen,Pflanzen,1,1994,2013,20,10,Beobachtung,positive to negative,NA,NA,NA,NA,Angabe zum Boden: Limestone rendzina with low water storage capacity,Literatur,D,NA,NA,NA
356,AZDPE2RS,NA,"Strubelt, I. et al.",2019,Inter-annual variation in species composition and richness after coppicing in a restored coppice-with-standards forest,Forest Ecology and Management 432 (2019) 132–139,10.1016/j.foreco.2018.09.014,NA,Konrad Adler,Konrad Adler,Wald,"Coppice-with-standards Projekt (CWS, Niederwald), Galio-Carpinetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Salzgitter-Höhenzug zwischen Liebenburg und Goslar,10.42319444,51.97391667,5,Artenzahl,"Zeit (Jahre nach ""coppicing"")",Pflanzen,Pflanzen,Pflanzen,NA,1994,2013,20,10,Beobachtung,no,NA,NA,NA,NA,Angabe zum Boden: Limestone rendzina with low water storage capacity,Literatur,D,NA,NA,NA
357,AZDPE2RS,NA,"Strubelt, I. et al.",2019,Inter-annual variation in species composition and richness after coppicing in a restored coppice-with-standards forest,Forest Ecology and Management 432 (2019) 132–139,10.1016/j.foreco.2018.09.014,NA,Konrad Adler,Konrad Adler,Wald,"Coppice-with-standards Projekt (CWS, Niederwald), Galio-Carpinetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Salzgitter-Höhenzug zwischen Liebenburg und Goslar,10.42319444,51.97391667,5,Artenzahl,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2013,20,2,Beobachtung,positive,NA,NA,NA,NA,Angabe zum Boden: Limestone rendzina with low water storage capacity,Literatur,D,NA,NA,NA
358,AZDPE2RS,NA,"Strubelt, I. et al.",2019,Inter-annual variation in species composition and richness after coppicing in a restored coppice-with-standards forest,Forest Ecology and Management 432 (2019) 132–139,10.1016/j.foreco.2018.09.014,NA,Konrad Adler,Konrad Adler,Wald,"Coppice-with-standards Projekt (CWS, Niederwald), Galio-Carpinetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Salzgitter-Höhenzug zwischen Liebenburg und Goslar,10.42319444,51.97391667,5,ENS,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2013,20,2,Beobachtung,positive,NA,NA,NA,NA,Angabe zum Boden: Limestone rendzina with low water storage capacity,Literatur,D,NA,NA,NA
359,AZDPE2RS,NA,"Strubelt, I. et al.",2019,Inter-annual variation in species composition and richness after coppicing in a restored coppice-with-standards forest,Forest Ecology and Management 432 (2019) 132–139,10.1016/j.foreco.2018.09.014,NA,Konrad Adler,Konrad Adler,Wald,"Coppice-with-standards Projekt (CWS, Niederwald), Galio-Carpinetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Salzgitter-Höhenzug zwischen Liebenburg und Goslar,10.42319444,51.97391667,5,Abundanz,Zeit,Pflanzen,Pflanzen,Pflanzen,NA,1994,2013,20,2,Beobachtung,positive,NA,NA,NA,NA,Angabe zum Boden: Limestone rendzina with low water storage capacity,Literatur,D,NA,NA,NA
352,BX6CS4BF,NA,"Siegenthaler, M.B.",2022,Microbial community responses to phosphorus and nitrogen inputs in the organic soil horizons of two contrasting temperate beech forests,Applied Soil Ecology 172:104357,10.1016/j.apsoil.2021.104357,NA,Konrad Adler,Konrad Adler,Wald,von Buche (Fagus sylvatica L.) dominierte Waldflächen,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,"Niedersachsen, Bayern","Lüss in der Lüneburger Heide, Bad-Brückenau im Mittelgebirgsgebiet der Rhön",10.05055556,51.83944444,NA,Artenzahl,Zeit,Pilze_Flechten,Pilze,Pilze,1,2017,2018,2,2,Experiment,no,NA,NA,NA,NA,"Angabe zum Boden: Hyperdystric Folic Cambisol developed on Pleistocene sands (Lüss Standort), Dystric Skeletic Cambisol developed on basalt (Bad-Brückenau Standort)",Literatur,D,NA,NA,NA
353,BX6CS4BF,NA,"Siegenthaler, M.B.",2022,Microbial community responses to phosphorus and nitrogen inputs in the organic soil horizons of two contrasting temperate beech forests,Applied Soil Ecology 172:104357,10.1016/j.apsoil.2021.104357,NA,Konrad Adler,Konrad Adler,Wald,von Buche (Fagus sylvatica L.) dominierte Waldflächen,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,"Niedersachsen, Bayern","Lüss in der Lüneburger Heide, Bad-Brückenau im Mittelgebirgsgebiet der Rhön",10.05055556,51.83944444,NA,ENS,Zeit,Pilze_Flechten,Pilze,Pilze,1,2017,2018,2,2,Experiment,no,NA,NA,NA,NA,"Angabe zum Boden: Hyperdystric Folic Cambisol developed on Pleistocene sands (Lüss Standort), Dystric Skeletic Cambisol developed on basalt (Bad-Brückenau Standort)",Literatur,D,NA,NA,NA
10635,BX9AXT7X,NA,Schmidt A.,1998,Zur Fledermausfauna ostbrandenburgischer Kiefernforste,"Nyctalus (N.F.), Band 6(1985), Heft 5, S. 450-455",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,Beeskow,14.28271121,52.20478753,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1974,1996,23,23,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,NA,NA,NA,NA
10636,BX9AXT7X,NA,Schmidt A.,1998,Zur Fledermausfauna ostbrandenburgischer Kiefernforste,"Nyctalus (N.F.), Band 6(1985), Heft 5, S. 450-455",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,Beeskow,14.27533692,52.20020751,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1974,1996,23,23,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,NA,NA,NA,NA
10422,CF5PSFSV,NA,"Berg J. , H. Schütt, D. Karoske",2016,"15 Jahre Schutz, Sicherung und Optimierung von Winterquartieren im Nordosten Deutschlands","Nyctalus (N.F.), Berlin 18 (2013-2016), Heft 3-4, S. 204-212",NA,NA,Maria Sporbert,Anneka Bücher,Wald,Bunkeranlage,Bauwerke,Deutschland,Mecklenburg-Vorpommern,Neustrelitz-Weisdin,13.11216628,53.36756376,NA,Abundanz,Zeit,Wirbeltiere,Saeuger,Säuger,3,1987,2013,27,14,Beobachtung,negative to positive,NA,NA,NA,NA,NA,Literatur,D,NA,NA,NA
10638,CIWE47NB,NA,"Koettnitz J., Heuser R.",1999,10 Jahre fledermausgerechte Stollenabsicherung an Lahn und Dill,"Nyctalus (N.F.), Band 7(1999), Heft 1, S. 43 – 59",NA,NA,NA,Anneka,Wald,NA,Bauwerke,Deutschland,Hessen,Lahn-Dill Kreis,8.512608559,50.53087654,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,NA,1987,1996,10,10,Beobachtung,positive,NA,NA,NA,NA,NA,Literatur,NA,NA,NA,NA
10646,CNZJ3BJ9,NA,"Zöphel U., Wilhelm M., Kugelschafter K.",2001,Vergleich unterschiedlicher Erfassungsmethoden in einem großen Fledermaus-Winterquartier im Osterzgebirge (Sachsen),"Nyctalus (N.F.), Band 7(2001), Heft 5, S. 523-531",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Sachsen,"Berliner Zitadelle, Segeberger Kalkberghöhlen",13.21264388,52.54079773,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,7,1972,1998,27,27,Beobachtung,no,NA,NSG Osterzgebirge,NA,NA,NA,Literatur,NA,NA,NA,NA
10629,CUK5LQQ8,NA,Schmidt A.,1997,"Zu Verbreitung, Bestandsentwicklung und Schutz des Abendseglers (Nyctalus noctula) in Brandenburg","Nyctalus (N.F.), Band 6(1985), Heft 4, S. 365-371",NA,NA,NA,Anneka,Wald,NA,Nadel(Misch)Wälder und -Forste,Deutschland,Brandenburg,Möllenwinkel,14.23924873,52.0834783,NA,Abundanz,Jahr,Wirbeltiere,Saeuger,NA,1,1972,1996,25,24,Beobachtung,no,NA,NSG Möllenwinkel,NA,NA,NA,Literatur,NA,NA,NA,NA
