N,Key,Bemerkung_Maria,Autor,Jahr,Titel,Zeitschrift,DOI,Name_pdf,ID_Studie,Screener,Extracter,Lebensraum,Lebensraum_Details,Biotoptyp,Land,Bundesland,Ort,ZUS,Grossregion,X,Y,geographische_Genauigkeit_km,Breitengrad_Laengengrad,Boden,Antwortvariable,Antwortvariable_andere,Antwortvariable_Einheit,x_Achse,Hauptgruppe_RoteListen,Untergruppe_RoteListen,Untergruppe_RoteListen_Detail,Untergruppe_Andere,Artname_deutsch,Artname_wissensch,Anzahl_Arten_Gruppen,Startjahr,Endjahr,Dauer,Anzahl_beprobte_Jahre,Methode,ExperimentObservation,Trend,Trend_Info,Potential_Metaanalyse,Beschreibung_Potential,Direkte Treiber,Haupttreiber_1,Haupttreiber_2,Nebentreiber_1,Nebentreiber_2,Direkter Treiber_Details,Maßnahme_Schutzgebiet,Maßnahme_Schutzgebiet_Andere,Maßnahme_Managementmaßnahme,Maßnahme_Impulsmaßnahmen,Notizen,Notizen_Maria,LiteraturRawdata,Studie_in_D,Untergruppe_RoteListen_ORIG,KIBA_D_change
465,ZU6JDWYE,non_Sys,"Dierschke, H. & Becker, T.",2020,37 Jahre Dauerflächenuntersuchungen in einem Kalkbuchenwald – eine Zeitreihe 1980 – 2001 – 2016,Tuexenia 40: 71–99,https://www.tuexenia.de/publications/tuexenia/Tuexenia_2020_NS_040_0071-0099.pdf,,,Maria Sporbert,Maria Sporbert,Wald,Kalkbuchenwald,,Deutschland,Niedersachsen,Ökosystem-Forschungsprojektes in der Nähe von Göttingen,D36,,46152,5153333333,,"TK 25: 4426 Waake, SW-Quadrant: N51° 32 ′ E10° 03 ′",,Artenzahl,,,Zeit,Pflanzen,Pflanzen,Pflanzen,Kräuter/Krautschicht,,,Antwortvariable,1980,2016,36,3,"Vegetationsaufnahme, Dauerquadratuntersuchungen",Beobachtung,positive,,hoch,"Abb. 1. a) Schichtendeckung und b) Arte nzahlen pro Aufnahmefläche im Zeitraum 1980 bis 2016. BS = Baum-, SS = Strauch- und KS = Krautschicht. Mittelwerte und 1 Standardfehler.",Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,Übergang von extensiver Mittelwald- zu Hochwaldwirtschaft innerhalb von etwa 100 Jahren,,,,,,,Literatur,D,Farn- und Blütenpflanzen,
466,U5BJU2G8,non_Sys,"Dittrich, S. et al",2016,"Auswirkungen von Waldbränden auf die Langzeitdynamik naturnaher Kiefernwälder (Leucobryo-Pinetum) im Nationalpark Sächsische Schweiz (Sachsen, Deutschland)",Tuexenia 36: 23–36,https://www.tuexenia.de/publications/tuexenia/Tuexenia_2016_NS_036_0023-0036.pdf,,,Maria Sporbert,Maria Sporbert,Wald,Waldkiefern-Bestände,,Deutschland,Sachsen,Teilgebiet „Hintere Sächsische Schweiz“ (Bereiche Großer Zschand und Affensteine),D15,,1426789394,509115031,2,,,Artenzahl,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,,Antwortvariable,1963,2014,51,4,Vegetationsaufnahme,Beobachtung,no,,hoch,"Tabelle 2. N1-Diversität der Gefäßpflanzen (Baum, Strauch- und Krautschicht) und Kryptogamen in den Zeitreihen A-C. Mittelwerte ± Standardfehler, unterschiedliche Kleinbuchstaben zeigen signifikante Unterschiede innerhalb der jeweiligen Zeitreihe an (Wilco",Veränderung der Struktur der Landschaft,Veränderung der Struktur der Landschaft,,,,Einfluss von Waldbränden,Nationalpark Sächsische Schweiz,,,,,,Literatur,D,Farn- und Blütenpflanzen,
467,Gregor2016,non_Sys,"Gregor, T. et al.",2016,Loss of plant species diversity in a rural German region - assessment on basis of a historical herbarium,Tuexenia 36: 191–204,https://www.tuexenia.de/publications/tuexenia/Tuexenia_2016_NS_036_0191-0204.pdf,,,Maria Sporbert,Maria Sporbert,Wald,"ländlichen Region, Wald, Dörfer, Agrarland",,Deutschland,Hessen,"Feldatal, Groß-Felda",D47,,917235,50649677,,50.649677° N / 9.172350° E),base rich,Artenzahl,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,,Antwortvariable,1945,2012,67,2,Herbarsammlung vs Vegetationsaufnahme,Beobachtung,negative,"Floristic diversity decreased (683 to 497 species, 31% of the total flora), principally by disappearance of species of unimproved grassland, fields and villages.",gering,,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,intensification of agriculture,,,,,,,Literatur,D,Farn- und Blütenpflanzen,
481,52WFJFJS,non_Sys,"Schmidt, W.",1972,Langjährige Veränderungen der Krautschicht eines Kalkbuchenwaldes,Tuexenia 8: 327-338,,,,Maria Sporbert,Maria Sporbert,Wald,Kalkbuchenwald,,Deutschland,Niedersachsen,Kalkbuchenwald bei Göttingen,D36,,1002246181,5154232139,5,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,Allium ursinum,1,1981,1987,6,7,Vegetationsaufnahme,Beobachtung,no,,gering,Abb. 2: Veränderungen im Deckungsgrad von Allium ursinum von 1981 —1987 auf den 16 Dauerprobeflächen des Kalkbuchenwaldes.,,,,,,,,,,,,,Literatur,D,Farn- und Blütenpflanzen,
482,52WFJFJS,non_Sys,"Schmidt, W.",1972,Langjährige Veränderungen der Krautschicht eines Kalkbuchenwaldes,Tuexenia 8: 327-338,,,,Maria Sporbert,Maria Sporbert,Wald,Kalkbuchenwald,,Deutschland,Niedersachsen,Kalkbuchenwald bei Göttingen,D36,,1002246181,5154232139,5,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,Mercurialis perennis,1,1981,1987,6,7,Vegetationsaufnahme,Beobachtung,no,,gering,Abb. 3: Veränderungen im Deckungsgrad von Mercurialisperennisvon 1981 —1987 auf den 16 Dauerprobeflächen des Kalkbuchenwaldes.,,,,,,,,,,,,,Literatur,D,Farn- und Blütenpflanzen,
483,52WFJFJS,non_Sys,"Schmidt, W.",1972,Langjährige Veränderungen der Krautschicht eines Kalkbuchenwaldes,Tuexenia 8: 327-338,,,,Maria Sporbert,Maria Sporbert,Wald,Kalkbuchenwald,,Deutschland,Niedersachsen,Kalkbuchenwald bei Göttingen,D36,,1002246181,5154232139,5,,,Abundanz,,,Zeit,Pflanzen,Pflanzen,Pflanzen,,,Anemone nemorosa,1,1981,1987,6,7,Vegetationsaufnahme,Beobachtung,positive,,gering,Abb. 4: Veränderungen im Deckungsgrad von Anemonenemorosavon 1981 —1987 auf den 16 Dauerprobeflächen des Kalkbuchenwaldes.,Andere direkte Treiber,Andere direkte Treiber,,,,verminderte Beweidung durch Rehe in dem gezäunten Untersuchungsgebiet,,,,,,,Literatur,D,Farn- und Blütenpflanzen,
488,UX87JCJN,non_Sys,"Skiba, R.",2013,Brutvogelbestände 1978 – 2012 im Gebiet „Kempkenholz“ / Remscheid,Abhandlungen aus dem Westfälischen Museum für Naturkunde,https://www.lwl.org/wmfn-download/Abhandlungen/Abh_75_2013.pdf,,,Maria Sporbert,Maria Sporbert,Wald,"34 ha Gebiet, ca. 23 ha Laubwald, 2 ha Nadelwald, 6 ha Kahlschlag einschließlich Sträuchern (davon 5ha unterhalb der Hochspannungs-Freileitungen), 2 ha Wiesen, 0,5 ha Bäche und Teiche, 0,5 ha Parkanlagen",,Deutschland,Nordrhein-Westfalen,Kempkenholz / Remscheid,D38,,7192919887,5120573941,2,,,Abundanz,,,Zeit,Wirbeltiere,Vögel,Vögel,,,,>20,1978,2012,34,10,Brutvogelkartierung,Beobachtung,no,"Insgesamt zeigt sich, dass die Menge




(Anzahl) der brütenden Vögel im Gebiet der 34 ha während 35 Jahren zwar im




Wesentlichen etwa gleich geblieben ist, die jeweiligen Arten jedoch zu einem Teil




erheblich ab- oder zugenommen haben. Ergebnisse zeigten bei f",hoch,"Tab. 1: Durchschnittliche Anzahl der Brutvögel je Jahr im Gebiet des Kempkenholz /




Remscheid 1978 – 2012.","Klimawandel, Veränderung der Struktur der Landschaft",Klimawandel,Veränderung der Struktur der Landschaft,,,"Natur noch verhältnismäßig gleichbleibend trotz einiger Veränderungen erhalten, Manche Veränderungen erfolgten besonders durch Temperaturzunahme beim Klimawandel",,,,,,,Literatur,D,Vögel,
489,6AKWDL8E,Sys,"Heinrichs, S. et al.",2015,Dynamics of Hedera helix L. in Central European beech forests on limestone: results from long-term monitoring and experimental studies,Plant Ecol 216:1–15,10.1007/s11258-014-0412-1,Heinrichs_2015_PlantEcol.pdf,,Konrad Adler,Konrad Adler,Wald,"Allium ursinum-reicher Hordelymo-Fagetum lathyretosum, Carici-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Göttinger Wald,D36,,9983333333,5155,,"N 51°30'–37', E 9°56'–10°03'",,Abundanz,,mittlerer Deckungsgrad,Zeit,Pflanzen,Pflanzen,Pflanzen,Sträucher/Strauchschicht,,,keine Angaben,1997,2012,15,2,Vegetationsaufnahmen,"Beobachtung, Experiment",positive,,hoch,"Fig. 2 Vegetation structure and H. helix cover comparing old




(1955–1967) and recent (2000–2012) relevés sampled in the




Hordelymo-Fagetum lathyretosum and in the Carici-Fagetum of




the Göttinger Wald. TL tree layer, SL shrub layer, HL herb layer.","Klimawandel, Verschmutzung, Veränderte Land-/Meeresnutzung",Klimawandel,Verschmutzung,Veränderte Land-/Meeresnutzung,,"konnten nicht identifiziert werden (komplexes Zusammenspiel aus abiotischen (Klimawandel, Eutrophierung) und biotischen (Wildverbiss, Wettkampf) Faktoren)",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
490,6AKWDL8E,Sys,"Heinrichs, S. et al.",2015,Dynamics of Hedera helix L. in Central European beech forests on limestone: results from long-term monitoring and experimental studies,Plant Ecol 216:1–15,10.1007/s11258-014-0412-1,Heinrichs_2015_PlantEcol.pdf,,Konrad Adler,Konrad Adler,Wald,"Allium ursinum-reicher Hordelymo-Fagetum lathyretosum, Carici-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Göttinger Wald,D36,,9983333333,5155,,"N 51°30'–37', E 9°56'–10°03'",,Abundanz,,mittlerer Deckungsgrad,Zeit,Pflanzen,Pflanzen,Pflanzen,Kräuter/Krautschicht,,,keine Angaben,1997,2012,15,2,Vegetationsaufnahmen,"Beobachtung, Experiment",positive,,hoch,"Fig. 2 Vegetation structure and H. helix cover comparing old




(1955–1967) and recent (2000–2012) relevés sampled in the




Hordelymo-Fagetum lathyretosum and in the Carici-Fagetum of




the Göttinger Wald. TL tree layer, SL shrub layer, HL herb layer.","Klimawandel, Verschmutzung, Veränderte Land-/Meeresnutzung",Klimawandel,Verschmutzung,Veränderte Land-/Meeresnutzung,,"konnten nicht identifiziert werden (komplexes Zusammenspiel aus abiotischen (Klimawandel, Eutrophierung) und biotischen (Wildverbiss, Wettkampf) Faktoren)",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
491,6AKWDL8E,Sys,"Heinrichs, S. et al.",2015,Dynamics of Hedera helix L. in Central European beech forests on limestone: results from long-term monitoring and experimental studies,Plant Ecol 216:1–15,10.1007/s11258-014-0412-1,Heinrichs_2015_PlantEcol.pdf,,Konrad Adler,Konrad Adler,Wald,"Allium ursinum-reicher Hordelymo-Fagetum lathyretosum, Carici-Fagetum",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,Göttinger Wald,D36,,9983333333,5155,,"N 51°30'–37', E 9°56'–10°03'",,Abundanz,,mittlerer Deckungsgrad,Zeit,Pflanzen,Pflanzen,Pflanzen,Baumschicht,,,keine Angaben,1997,2012,15,2,Vegetationsaufnahmen,"Beobachtung, Experiment",positive,,hoch,"Fig. 2 Vegetation structure and H. helix cover comparing old




(1955–1967) and recent (2000–2012) relevés sampled in the




Hordelymo-Fagetum lathyretosum and in the Carici-Fagetum of




the Göttinger Wald. TL tree layer, SL shrub layer, HL herb layer.","Klimawandel, Verschmutzung, Veränderte Land-/Meeresnutzung",Klimawandel,Verschmutzung,Veränderte Land-/Meeresnutzung,,"konnten nicht identifiziert werden (komplexes Zusammenspiel aus abiotischen (Klimawandel, Eutrophierung) und biotischen (Wildverbiss, Wettkampf) Faktoren)",,,,,,,Literatur,D,Farn- und Blütenpflanzen,
517,Bussmann2015,non_Sys,"Bußmann, M. & Kraatz, K.",2015,Ergebnisse fünfundzwanzigjähriger Bestandsaufnahmen in Fledermaus-Winterquartieren im Märkischen Kreis,Abhandlungen aus dem Westfälischen Museum für Naturkunde,https://www.lwl.org/wmfn-download/Abhandlungen/Abh_79_2015.pdf,,,Maria Sporbert,Maria Sporbert,Wald,,,Deutschland,Nordrhein-Westfalen,"Märkischer Kreis, Nordwesten des Südwestfälischen Berglandes",D38,,7750522296,5127074786,20,,,Abundanz,,,Zeit,Wirbeltiere,Säuger,Säuger,Fledermäuse,,,10,1988,2012,24,25,Begehung von Winterquartieren und Zählung,Beobachtung,positive,,hoch,Abb.2 Bestandsentwicklung überwinternder Fledermäuse nach Individuen und Artenzahl,"Veränderte Land-/Meeresnutzung, Andere",Veränderte Land-/Meeresnutzung,Andere,,,"Extensivierung Landnutzung, Einschränkung Pestizidgebrauch, Verbesserung Qualität Gwässer, spezifische Natur- und Artenschutzmaßnahmen, Zunahme Nahrungsangebot",,,,,,,Literatur,D,Säugetiere,
519,R596FD53,Sys,"Bässler, C. et al.",2016,Mean reproductive traits of fungal assemblages are correlated with resource availability,"Ecology and Evolution 2016, 6(2):",10.1002/ece3.1911,Bässler_2016_EcolEvol.pdf,,Konrad Adler,Konrad Adler,Wald,"Bergwälder in verschiedenen Höhenlagen, ausgewachsene Fichten dominieren",Nadel(Misch)Wälder und -Forste,Deutschland,Bayern,Nationalpark Bayerischer Wald,D63,,1348333333,489,,"48°54'N, 13°29'E",Angabe zum Boden: acidic sand and loamy soils prevail,Artenzahl,,"Gesamtartenzahl, Artenzahl/Plot",Zeit,Pilze_Flechten,Pilze,Pilze,soil-related (terricolous) macrofungi,,,Antwortvariable,2009,2011,2,3,"Zählungen, Sampling",Beobachtung,positive,,hoch,"Tab.1: Anzahl der Arten mutualistischer Ektomykorrhiza- (ECM) und saprotropher- (ST) Pilzarten und Mittelwerte für 48 Plots, die in den folgenden Jahren beprobt wurden 2009, 2010 und 2011",,,,,,,Nationalpark_Bayerischer Wald,,,,Angabe zum Boden: acidic sand and loamy soils prevail,,Literatur,D,Pilze,
520,SYG3AVC8,Sys,"Fischer, ML et al.",2016,Assessing and predicting the spread of non-native raccoons in Germany using hunting bag data and dispersal weighted models,Biol Invasions 18:57–71,10.1007/s10530-015-0989-x,Fischer_2016_BiolInvasions.pdf,,Konrad Adler,Konrad Adler,Wald,,,Deutschland,,,D36,,10279,51415,700,,,Abundanz,,Anzahl gejagter Waschbären (hunting bag records),Zeit,Wirbeltiere,Säuger,Säuger,,Waschbär,Procyon lotor,1,2000,2012,12,12,Sammlung der Jagdunterlagen,Beobachtung,positive,,hoch,"Fig.1b: Anzahl der erlegten Waschbären pro Jagdsaison (von 1930-2011), die Studie bezieht sich nur auf die Daten beginnend ab 2000",Invasive gebietsfremde Arten,Invasive gebietsfremde Arten,,,,der Waschbär als invasive Art profitiert vom großen zur Verfügung stehenden Habitat in Deutschland,,,,,"der ausgewählte Treiber ist hier die untersuchte, invasive Art",,Literatur,D,Säugetiere,
521,T7XB26QI,Sys,"Kämmerle, JL et al.",2020,Quantifying the effectiveness of habitat management to counter local extinction: A case-study on capercaillie,Forest Ecology and Management 474 (2020) 118379,10.1016/j.foreco.2020.118379,Kämmerle_2020_ForEcolManag.pdf,,Konrad Adler,Konrad Adler,Wald,"bewirtschaftete Waldbestände dominiert von Picea abies, Abies alba, Fagus sylvatica und Pinus sylvestris",Nadel(Misch)Wälder und -Forste,Deutschland,Baden-Württemberg,Schwarzwald,D54,,8171184207,4823201907,100,,,Abundanz,Verbreitung im Habitat,,Zeit,Wirbeltiere,Vögel,Vögel,,,Tetrao urogallus,1,2008,2018,10,2,systematische Bestandsaufnahmen anhand von direkten und indirekten Spuren,Beobachtung,negative,,gering,Abb. 1b. Verbreitungsentwicklung der Auerhuhnpopulation im Untersuchungsgebiet zwischen 2008 und 2018,"Veränderte Land-/Meeresnutzung, Klimawandel",Veränderte Land-/Meeresnutzung,Klimawandel,,,"Verschlechterung der Waldlebensräume aufgrund der Bewirtschaftung, Verringerung der Schneemenge durch Klimawandel",,,,,,,Literatur,D,Vögel,
522,H7XXBFEY,Sys,"Mölder, A. et al.",2014,When beech strikes back: How strict nature conservation reduces herb-layer diversity and productivity in Central European deciduous forests,Forest Ecology and Management 319:51–61,10.1016/j.foreco.2014.01.049,Mölder_2014_ForEcolManag.pdf,,Konrad Adler,Konrad Adler,Wald,"Buchenmischwald (seit 1989 unbewirtschaftet), neben F. sylvatica vorallem A. pseudoplatanus & F. excelsior",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"""Hünstollen"" im Göttinger Wald",D36,,9933333333,5153333333,,"51°32'N, 09°56'E","Angaben zum Boden: According to the World Reference Base for Soil Resources (WRB), the soil type of the research sites is (stagnic) Luvisol",Artenzahl,,mittlere Artenzahl pro Plot,Zeit,Pflanzen,Pflanzen,Pflanzen,Kräuter/Krautschicht,,,Antwortvariable,1992,2012,20,3,Vegetationsaufnahme,Beobachtung,negative,,hoch,Tab.4: Untersuchung der Dauerbeobachtungsfläche Hünstollen: mittlere Artenzahl der Krautschicht über den Untersuchungszeitraum 1992-2012,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,Einstellung der Forstwirtschaft seit 1989,,,,,"Angaben zum Boden: According to the World Reference Base for Soil Resources (WRB), the soil type of the research sites is (stagnic) Luvisol",,Literatur,D,Farn- und Blütenpflanzen,
523,H7XXBFEY,Sys,"Mölder, A. et al.",2014,When beech strikes back: How strict nature conservation reduces herb-layer diversity and productivity in Central European deciduous forests,Forest Ecology and Management 319:51–61,10.1016/j.foreco.2014.01.049,Mölder_2014_ForEcolManag.pdf,,Konrad Adler,Konrad Adler,Wald,"Buchenmischwald (seit 1989 unbewirtschaftet), neben F. sylvatica vorallem A. pseudoplatanus & F. excelsior",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Niedersachsen,"""Hünstollen"" im Göttinger Wald",D36,,9933333333,5153333333,,"51°32'N, 09°56'E","Angaben zum Boden: According to the World Reference Base for Soil Resources (WRB), the soil type of the research sites is (stagnic) Luvisol",Artenzahl,,mittlere Artenzahl pro Plot,Zeit,Pflanzen,Pflanzen,Pflanzen,Baumschicht,,,Antwortvariable,1992,2012,20,3,Vegetationsaufnahme,Beobachtung,no,,hoch,Tab.4: Untersuchung der Dauerbeobachtungsfläche Hünstollen: mittlere Artenzahl der Baumschicht über den Untersuchungszeitraum 1992-2012,Veränderte Land-/Meeresnutzung,Veränderte Land-/Meeresnutzung,,,,Einstellung der Forstwirtschaft seit 1989,,,,,"Angaben zum Boden: According to the World Reference Base for Soil Resources (WRB), the soil type of the research sites is (stagnic) Luvisol",,Literatur,D,Farn- und Blütenpflanzen,
524,XSVKCFBC,Sys,"Bluhm, C. et al.",2016,Temporal fluctuations in oribatid mites indicate that density-independent factors favour parthenogenetic reproduction,Exp Appl Acarol 68:387–407,10.1007/s10493-015-0001-6,Bluhm_2016_ExpApplAcarol.pdf,,Konrad Adler,Konrad Adler,Wald,"4 Waldtypen: bewirtschaftete junge und alte Buchenwälder, unbewirtschaftete Buchenwälder (60 Jahre ohne Management), alte bewirtschaftete Nadelwälder","Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent), Nadel(Misch)Wälder und -Forste",Deutschland,"Baden-Württemberg, Brandenburg, Thüringen","Schwäbisch Alb, Schorfheide-Chorin, Hainich-Dün (""Biodiversity Exploratories"")",D60,,93535027,4829898535,10,,"Angaben zum Boden: Soils mainly comprise Cambisols and Luvisols in the Schorfheide-Chorin and Hainich-Dün, and Cambisols and Leptosols in the Schwäbische Alb. Bedrock is glacial till in the Schorfheide-Chorin, Triassic limestone in the Hainich-Dün and Ju",Abundanz,,Individuen pro m2,Zeit,Wirbellose,Arthropoden,Arthropoden,Hornmilben (Oribatida),,,>20,2008,2011,3,2,Bodenproben,Beobachtung,no,"2 neutral, 1 negativ",hoch,Fig. 1a: Hornmilbendichte  in den Jahren 2008 und 2011 in drei Regionen in Deutschland,Andere direkte Treiber,Andere direkte Treiber,,,,jährliche Fluktuationen durch dichte-abhängige Faktoren etc.,,,,,"Angaben zum Boden: Soils mainly comprise Cambisols and Luvisols in the Schorfheide-Chorin and Hainich-Dün, and Cambisols and Leptosols in the Schwäbische Alb. Bedrock is glacial till in the Schorfheide-Chorin, Triassic limestone in the Hainich-Dün and Ju",,Literatur,D,Hornmilben (Oribatida),
525,Reczynska2015,Sys,"Reczyńska, K. et al.",2015,The spread of Impatiens parviflora DC. in Central European oak forests - another stage of invasion?,Acta Soc Bot Pol 84(4):401–411,10.5586/asbp.2015.039,Reczyńska_2015_ActaSocBotPol.pdf,,Konrad Adler,Konrad Adler,Wald,Mitteleuropäische Eichenwälder,Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,,,D36,,10279,51415,700,,,Abundanz,Vorkommen/occurrence,Anzahl der pflanzensoziologischen Vegetationsaufnahmen mit Vorkommen der Art,Zeit,Pflanzen,Pflanzen,Pflanzen,,,Impatiens parviflora,1,1976,1996,20,22,Vegetationsaufnahmen (Braun-Blanquet),Beobachtung,positive,,hoch,Fig.7a: Die Anzahl der phytosoziologischen Vegetationsaufnahmen aus deutschen Eichenwäldern mit I. parviflora-Vorkommen.,Invasive gebietsfremde Arten,Invasive gebietsfremde Arten,,,,,,,,,"der ausgewählte Treiber ist hier die untersuchte, invasive Art",,Literatur,D,Farn- und Blütenpflanzen,
526,3B3C8R6S,Sys,"Gruppe, A. et al.",2018,Restoration of a Danube floodplain forest: what happens to species richness of terrestrial beetles?,"Restoration Ecology Volume 2, Issue 4: 729-739",https://doi.org/10.1111/rec.12627,Gruppe_2018_RestorEcol.pdf,,Konrad Adler,Konrad Adler,Wald,"zu Beginn: nachhaltig bewirtschafteter Laubwald am Ufer, später: Auenwald",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Bayern,"zwischen Flusskilometer 2.472 und 2.464 der Donau, nahe der Staustufe Bergheim und südlich des Flusses",D65,,1126666667,4875,,"48°45′N, 11°16′E",,Abundanz,,Anzahl gefangener Individuen,Zeit,Wirbellose,Arthropoden,Arthropoden,Käfer (Coleoptera),,,>20,2007,2012,5,6,"Sampling mithilfe von verschiedenen Fallenarten (pitfall trap, emergence photo-eclector + pit fall trap, flight interception trap, arboreal photo-eclector + flight interception trap)",Beobachtung,negative,Abnahme der Individuenzahl,hoch,Tab.1: Anzahl der gefangenen Individuen in den drei Untersuchungszeiträumen.,Veränderung der Struktur der Landschaft,Veränderung der Struktur der Landschaft,,,,nachhaltig bewirtschafteter Ufer-Laubwald wird zu Auenwald durch neuen Flusslauf/Überflutungen,,,"2009/2010 technische Arbeiten zur Erstellung eines künstlichen Nebenlaufes der Donau zur Errichtung eines neuen Auenwald-Ökosystems (bzw. Wiederherstellung), ab 2011 Beginn der ""Restoration""",,"Autoren nennen als Grund der negativen Trends: Studie zeigt nur frühe Phase der Revitalisierung des Auenwald-Bereiches, Käfergesellschaften haben noch nicht genug Zeit zur Etablierung",,Literatur,D,Käfer,
527,3B3C8R6S,Sys,"Gruppe, A. et al.",2018,Restoration of a Danube floodplain forest: what happens to species richness of terrestrial beetles?,"Restoration Ecology Volume 2, Issue 4: 729-739",10.1111/rec.12627,Gruppe_2018_RestorEcol.pdf,,Konrad Adler,Konrad Adler,Wald,"zu Beginn: nachhaltig bewirtschafteter Laubwald am Ufer, später: Auenwald",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Bayern,"zwischen Flusskilometer 2.472 und 2.464 der Donau, nahe der Staustufe Bergheim und südlich des Flusses",D65,,1126666667,4875,,"48°45′N, 11°16′E",,Artenzahl,,,Zeit,Wirbellose,Arthropoden,Arthropoden,Käfer (Coleoptera),,,Antwortvariable,2007,2012,5,6,"Sampling mithilfe von verschiedenen Fallenarten (pitfall trap, emergence photo-eclector + pit fall trap, flight interception trap, arboreal photo-eclector + flight interception trap)",Beobachtung,negative,Abnahme beider Größen,hoch,"Fig.3: mittlere Artenzahl + Shannon Index pro Plot in den drei Untersuchungszeiträumen: BS, TM und OR.",Veränderung der Struktur der Landschaft,Veränderung der Struktur der Landschaft,,,,nachhaltig bewirtschafteter Ufer-Laubwald wird zu Auenwald durch neuen Flusslauf/Überflutungen,,,"2009/2010 technische Arbeiten zur Erstellung eines künstlichen Nebenlaufes der Donau zur Errichtung eines neuen Auenwald-Ökosystems (bzw. Wiederherstellung), ab 2011 Beginn der ""Restoration""",,"Autoren nennen als Grund der negativen Trends: Studie zeigt nur frühe Phase der Revitalisierung des Auenwald-Bereiches, Käfergesellschaften haben noch nicht genug Zeit zur Etablierung",,Literatur,D,Käfer,
528,3B3C8R6S,Sys,"Gruppe, A. et al.",2018,Restoration of a Danube floodplain forest: what happens to species richness of terrestrial beetles?,"Restoration Ecology Volume 2, Issue 4: 729-739",10.1111/rec.12627,Gruppe_2018_RestorEcol.pdf,,Konrad Adler,Konrad Adler,Wald,"zu Beginn: nachhaltig bewirtschafteter Laubwald am Ufer, später: Auenwald",Laub(Misch)Wälder und -Forste (Laubbaumanteil über 50 Prozent),Deutschland,Bayern,"zwischen Flusskilometer 2.472 und 2.464 der Donau, nahe der Staustufe Bergheim und südlich des Flusses",D65,,1126666667,4875,,"48°45′N, 11°16′E",,ENS,,,Zeit,Wirbellose,Arthropoden,Arthropoden,Käfer (Coleoptera),,,Antwortvariable,2007,2012,5,6,"Sampling mithilfe von verschiedenen Fallenarten (pitfall trap, emergence photo-eclector + pit fall trap, flight interception trap, arboreal photo-eclector + flight interception trap)",Beobachtung,negative,Abnahme beider Größen,hoch,"Fig.3: mittlere Artenzahl + Shannon Index pro Plot in den drei Untersuchungszeiträumen: BS, TM und OR.",Veränderung der Struktur der Landschaft,Veränderung der Struktur der Landschaft,,,,nachhaltig bewirtschafteter Ufer-Laubwald wird zu Auenwald durch neuen Flusslauf/Überflutungen,,,"2009/2010 technische Arbeiten zur Erstellung eines künstlichen Nebenlaufes der Donau zur Errichtung eines neuen Auenwald-Ökosystems (bzw. Wiederherstellung), ab 2011 Beginn der ""Restoration""",,"Autoren nennen als Grund der negativen Trends: Studie zeigt nur frühe Phase der Revitalisierung des Auenwald-Bereiches, Käfergesellschaften haben noch nicht genug Zeit zur Etablierung",,Literatur,D,Käfer,
